QID,ProductID,Component,Role,RoleName,Level,OnboardingPhase,QuestionType,Question,WhyItMatters,AnswerSource,AnswerStatus,BlocksWork,ParentQID,FollowUps,SampleAnswerShape,AskedTo,AnsweredBy,AnswerDate,DocLink,Confidence
QST0237,D18,BI & Analytics,SDET,Test Architect / SDET,L3 Senior,Quarter 1,Security,How do you test for cross-tenant leakage through vector search rather than through the application interface?,Retrieval indexes are a documented isolation gap and a leak there exposes another organisation's manuals to a learner.,"Architecture Review Report §G.3, §G.5",Undocumented — no answer exists,E01 isolation in retrieval indices,-,Are indices tenant-partitioned? / Can a crafted query cross? / What is the assertion?,Probes the index directly with cross-tenant queries and asserts zero recall,,,,,
QST0057,D19,XR Store App,ID,Instructional Designer,L3 Senior,Quarter 1,Ethics/Validity,"What is the failure mode of treating simulator completion as proficiency evidence, and how would it be caught?","A learner certified on simulator completion may be unable to perform the task on real equipment, which is a safety exposure for the customer.",Architecture Review Report §I.8,Undocumented — no answer exists,Evidence-ladder pinning for simulator events,-,What would transfer evidence look like? / Who observes real performance? / Is fidelity of the simulator measured?,Names the transfer-of-training gap and an observation-based check,,,,,
QST0209,D19,XR Store App,QA,QA / Test Engineer,L3 Senior,Quarter 1,Failure mode,How do you test a failure that only appears after a device has been offline for sixty days?,"Token expiry, queue overflow and schema drift all bite at the long tail, and no normal test run is long enough to see them.",Architecture Review Report §G.6; Master Checklist v3 (PLT-90.2.04),Undocumented — no answer exists,D19 offline window testing,-,Can device clocks be advanced? / Is the queue bounded? / What is the supported window?,Describes clock manipulation and bounded-queue fixtures rather than real elapsed time,,,,,
QST0233,D19,XR Store App,SDET,Test Architect / SDET,L2 Mid,Month 1,Performance/Scale,How do you generate a reconnect burst of hundreds of device queues containing deliberate duplicates and out-of-order events?,Without a hostile generator the deduplication and ordering rules are only ever tested by well-behaved traffic.,"Architecture Review Report §J.3, §J.4 load plan item 2",Partially documented,E07 performance section,-,What is the target device count? / What duplicate ratio? / What is the pass criterion?,Describes a parameterised generator with duplication and reordering knobs,,,,,
QST0123,D19,XR Store App,SUP,Support & Service Engineer,L2 Mid,Month 1,Failure mode,"An entire lab of thirty headsets has failed to sync: what do you check first, and in what order?",Treating a site-wide sync failure as thirty device tickets buries the shared cause and the lab loses a week of records.,Architecture Review Report §G.6; Master Checklist v3 (PLT-90.2.04),Undocumented — no answer exists,D19 offline sync diagnostics,-,"Is it the token, the network or the endpoint? / Is there a site-level indicator? / Are the queues intact?",Orders the checks from shared cause outward rather than device by device,,,,,
QST0129,D19,XR Store App,SUP,Support & Service Engineer,L2 Mid,Month 1,Failure mode,What do you tell a learner whose immersive session dropped mid-exercise about whether their work was saved?,"An incorrect reassurance is discovered when the record never appears, and trust in the whole platform goes with it.",Product Plan v2 (M16); Architecture Review Report §G.6,Partially documented,D19 offline capture guarantees,-,Is the queue encrypted? / What is the retention on device? / What confirms a flush?,States what is captured locally and what confirms it eventually arrived,,,,,
QST0138,D19,XR Store App,SUP,Support & Service Engineer,L2 Mid,Month 1,Mechanism,How do you confirm that a device's stored event queue actually flushed after it reconnected?,Assuming a flush completed leaves a silent gap in a learner's record that surfaces only at certification time.,Architecture Review Report §H.3; Master Checklist v3 (PLT-90.2.04),Undocumented — no answer exists,D19 sync completion evidence,-,Is there an acknowledgement per event? / Is queue depth reported? / What proves zero duplicates?,Names an acknowledgement or reconciliation count rather than absence of errors,,,,,
QST0149,D19,XR Store App,SUP,Support & Service Engineer,L3 Senior,Quarter 1,Failure mode,What is the recovery path for a device that has been offline well beyond the supported window?,Refusing the backlog loses real learning records; accepting it blindly duplicates them into every roll-up.,Master Checklist v3 (PLT-90.2.04); Architecture Review Report §H.2,Undocumented — no answer exists,D19 offline backlog recovery,-,What is the supported window? / Is dedup guaranteed? / Who authorises a forced import?,"Names the window, the dedup guarantee and the exception route",,,,,
QAX0054,D19,XR Store App (M16/M32),BE,Back-End Developer,L2 Mid,Week 1,Failure mode,What happens when a device's offline licence validity window expires mid-session in a lab with no wide-area link?,A licence check that hard-fails offline stops a paid training session for a room of learners with no recovery path on site.,"Master Checklist v3 (FLD-01.1.04, FLD-02.1.03)",Partially documented,FLD-01.1.04 offline licence behaviour contract,-,Is there a grace period? / What is the user told? / When is revocation applied?,"names the validity window, the grace behaviour and the reconnection reconciliation",,,,,
QAX0055,D19,XR Store App (M16/M32),BE,Back-End Developer,L2 Mid,Week 1,Data,"If a headset has been offline for weeks with a drifted clock, which timestamp orders its uploaded events?",Ordering by device time puts a learner's later attempt before an earlier one and produces a false competency trajectory.,"Master Checklist v3 (KNI-12.1.03, FLD-01.1.06)",Partially documented,KNI-12.1.03 clock-skew handling,-,Are both timestamps stored? / What is the declared skew bound? / What happens beyond it?,names server receipt time as authoritative for ordering while preserving device time,,,,,
QAX0056,D19,XR Store App (M16/M32),BE,Back-End Developer,L2 Mid,Week 1,Interface/Contract,What makes a re-sent batch of device events idempotent at the learning-data API?,Without idempotency a retried upload doubles every attempt count for that learner and inflates every downstream mart.,"Master Checklist v3 (KNI-12.1.02, KNI-11.1.02)",Partially documented,KNI-12.1.02 server-side dedup,-,What is the dedup key? / Is the client UUID trusted? / How long is the dedup window?,"names the client UUID, device sequence and event ID as the dedup key and the retention of that key",,,,,
QAX0072,D19,XR Store App (M16/M32),DE,Data Engineer,L3 Senior,Month 1,Emergent,"If the same learner worked on two headsets on the same day, how is a single causal history reconstructed?",Interleaving two devices by device clock produces a history in which a learner completes a step before starting it.,Master Checklist v3 (KNI-12.1.07); Architecture Review Report §D-M16,Partially documented,KNI-12.1.07 reconnection matrix test,QAX0055,Is per-device sequence preserved? / Is a merge rule defined? / What is shown when order is ambiguous?,names per-device sequences plus a documented merge rule and an ambiguity disclosure,,,,,
QAX0057,D19,XR Store App (M16/M32),DEVOPS,DevSecOps / Platform Engineer,L2 Mid,Month 1,Performance/Scale,What happens on the server when five hundred lab devices reconnect at the same moment after a lab week?,An unthrottled reconnection burst degrades the live learning-data API for online learners elsewhere on the platform.,"Master Checklist v3 (KNI-09.1.02, KNI-12.1.04)",Partially documented,KNI-09.1.02 burst and backpressure contract,-,What are the 429 semantics? / Is client backoff jittered? / What is the max batch size?,"names the server signal, the client backoff and the batch bound agreed with the API owner",,,,,
QAX0061,D19,XR Store App (M16/M32),DEVOPS,DevSecOps / Platform Engineer,L3 Senior,Month 1,Failure mode,How does anyone notice that a headset should have uploaded events and did not?,A device that quietly stops syncing removes a whole cohort's evidence from the record with nobody alerted.,"Master Checklist v3 (KNI-12.1.08, FLD-03.2.02)",Partially documented,FLD-03.2.02 fleet sync dashboard,-,What is the expected-versus-received baseline? / What is the alert threshold? / Who is on the alert?,names an expected-versus-received comparison per device with an owner and a threshold,,,,,
QAX0062,D19,XR Store App (M16/M32),DEVOPS,DevSecOps / Platform Engineer,L3 Senior,Month 1,Failure mode,What is the rollback path when a bad store-client release is already installed across a lab fleet?,Without a rehearsed fleet rollback a broken client strands every headset in the lab until each is re-imaged by hand.,"Master Checklist v3 (FLD-03.3.03, KNI-15.1.03)",Partially documented,FLD-03.3.03 store-client rollback rehearsal,-,Does cache content roll back too? / Is there a kill switch? / How long does a fleet take?,"names the client rollback, the cache content rollback and the measured fleet time",,,,,
QAX0065,D19,XR Store App (M16/M32),DEVOPS,DevSecOps / Platform Engineer,L3 Senior,Month 1,Mechanism,How is the store server and its catalogue installed into a zero-egress site with no package registry access?,"An install path that assumes a public registry cannot be executed at an accredited site, and the lab misses its acceptance date.","Master Checklist v3 (KNI-15.1.02, FLD-03.3.02)",Partially documented,FLD-03.3.02 enclave zero-egress install verification,-,What is in the release bundle? / How are images served locally? / How is egress proven zero?,names the offline bundle contents and the packet-capture evidence of zero egress,,,,,
QAX0052,D19,XR Store App (M16/M32),FE,Front-End Developer,L2 Mid,Week 1,Performance/Scale,How are catalogue banner images and thumbnails handled so the store still renders instantly with the network down?,A catalogue that blocks on remote images shows an empty grid to a class of learners in an offline lab.,Master Checklist v3 (KNI-10.1.01),Partially documented,KNI-10.1.01 catalogue UI with image caching,-,Are images bundled or cached on first sync? / What is the eviction policy? / What is the placeholder?,"names the cache, its population moment and the offline placeholder behaviour",,,,,
QAX0045,D19,XR Store App (M16/M32),MXR,Mobile & XR Developer,L1 Junior,Day 1,Orientation,What does the EdVidura XR store app do that a device's native app store does not?,A developer who treats it as a generic store will not build the in-lab cache and offline entitlement behaviour the labs depend on.,"Product Plan v2 (M16, M32); Architecture Review Report §D-M32",Partially documented,FLD-02.1.01 Android store client implementation,-,Who publishes a title? / Where do packages live in a lab? / What runs with no network?,"names catalogue, signed install from a local cache and offline launch as the distinguishing behaviours",,,,,
QAX0046,D19,XR Store App (M16/M32),MXR,Mobile & XR Developer,L1 Junior,Day 1,Orientation,Which client platforms is the XR store app committed to shipping on today?,Building for a platform the programme has not funded wastes a sprint; missing one the client expects fails acceptance.,"Master Checklist v3 (FLD-01.1.01, KNI-15.1.01); Architecture Review Report §D-M32",Partially documented,FLD-01.1.01 iOS platform scope decision,-,Why does the M16 build pipeline list three platforms? / Who owns the decision? / What is the support cost?,names the committed platforms and flags the unresolved third as an open decision,,,,,
QAX0048,D19,XR Store App (M16/M32),MXR,Mobile & XR Developer,L1 Junior,Day 1,Orientation,What is the on-device event queue and where does it live on an Android headset?,A developer who does not know the queue is encrypted and capped will build a feature that silently discards learner evidence.,"Master Checklist v3 (KNI-11.1.01, FLD-02.1.04)",Partially documented,KNI-11.1.01 encrypted on-device event queue,-,What is the cap? / What is the aging policy? / Is it encrypted at rest?,"names the store, its encryption and the declared durability bound",,,,,
QAX0049,D19,XR Store App (M16/M32),MXR,Mobile & XR Developer,L1 Junior,Day 1,Orientation,How does a new developer get a working XR store build running against a test catalogue?,A week lost to environment setup is a week the offline-sync work that gates lab acceptance does not start.,None — undocumented,Undocumented — no answer exists,FLD-02.1.01 Android store client implementation,-,Is there a seeded catalogue fixture? / Is a headset required? / Who holds the signing test key?,"names the repository, the fixture catalogue and the device-or-emulator path",,,,,
QTU0092,D19,XR Store App (M16/M32),MXR,Mobile & XR Developer,L1 Junior,Day 1,Orientation,"Where does an installed title's package live on a headset, and what does the store app actually do at launch time?","A developer who cannot locate the installed package cannot diagnose the most common field report, which is a title that will not start.",Product Plan v2 (M16); XR Lead,Partially documented,KNI-04.x XR store client,-,Does the store app stay running during a title? / What identifies a title version on device? / Where do install logs go?,"Names the on-device location, the launch mechanism and where the logs are",,,,,
QAX0051,D19,XR Store App (M16/M32),MXR,Mobile & XR Developer,L2 Mid,Week 1,Mechanism,"Walk a simulator install in a lab from catalogue tap to a launchable title, naming where the bytes come from.",A developer who assumes a direct internet download will design a flow that cannot work in an offline lab or an enclave.,"Master Checklist v3 (FLD-01.1.03, FLD-02.1.05)",Partially documented,FLD-02.1.05 local package cache service,-,What populates the cache? / Is integrity re-verified after caching? / When is direct download allowed?,traces the request to the lab edge cache and names the integrity re-verification step,,,,,
QAX0053,D19,XR Store App (M16/M32),MXR,Mobile & XR Developer,L2 Mid,Week 1,Mechanism,How does one React Native codebase produce both an Android headset client and a Windows lab client?,"Assuming full parity across the two runtimes leads to a Windows client that fails acceptance late, after the lab is built.","Master Checklist v3 (FLD-01.1.07, FLD-02.1.02); Architecture Review Report §D-M16",Partially documented,FLD-01.1.07 React Native on Windows viability spike,-,What is shared and what is per-platform? / What did the spike conclude? / Which native modules differ?,separates shared business logic from per-platform native modules and cites the spike outcome,,,,,
QAX0071,D19,XR Store App (M16/M32),MXR,Mobile & XR Developer,L2 Mid,Week 1,Emergent,"If the network drops mid-session in a VR exercise, what does the learner see happen to their progress?","A learner shown an error and a lost session will not trust the platform again, whatever the events log later says.",Architecture Review Report §D-M32; client sample question sheet,Partially documented,FLD-02.1.04 store-and-forward SDK integration,QAX0048,Is the session state local? / Is anything shown to the learner? / What does the technician see?,"describes local continuation, the deferred upload and the signal shown to learner and technician",,,,,
QAX0060,D19,XR Store App (M16/M32),MXR,Mobile & XR Developer,L3 Senior,Month 1,Failure mode,What does the client do when the on-device event queue reaches its cap before the device reconnects?,Silently discarding the oldest events destroys exactly the early-session evidence a competency record would rest on.,Master Checklist v3 (KNI-11.1.01),Partially documented,KNI-11.1.01 queue cap and aging policy,-,Is the loss surfaced to the operator? / Which events are dropped first? / Is the drop itself an event?,"names the policy, the user or operator signal and whether the loss is recorded",,,,,
QTU0099,D19,XR Store App (M16/M32),MXR,Mobile & XR Developer,L3 Senior,Month 1,Failure mode,"A VR session crashes mid-procedure - what evidence survives on the device, and what must the learner repeat?","If nothing survives a crash, a learner who completed nine of ten steps repeats the whole procedure, and the programme cannot tell a crash from an abandonment in the data.",None - undocumented; XR Lead,Undocumented — no answer exists,KNI-04.x XR store client,-,Is partial progress written incrementally or at the end? / Is a crash itself an event? / How is a resumed session linked to the crashed one?,Names the persistence granularity and the linkage between the crashed and resumed sessions,,,,,
QAX0068,D19,XR Store App (M16/M32),MXR,Mobile & XR Developer,L4 Architect,Quarter 1,Trade-off,What would have to be true for EdVidura to abandon React Native on Windows for a native lab client?,Discovering the runtime is unviable after the labs are built forces a rewrite during the acceptance window.,Master Checklist v3 (FLD-01.1.07); Architecture Review Report §D-M32,Partially documented,FLD-01.1.07 React Native on Windows go or no-go,-,What did the spike measure? / What is the shared-code fraction? / Who maintains a second client?,names measurable viability triggers and the maintenance cost of a divergent client,,,,,
QAX0069,D19,XR Store App (M16/M32),MXR,Mobile & XR Developer,L4 Architect,Quarter 1,Trade-off,Is a per-lab package cache or per-device download the right distribution model for multi-gigabyte simulators in India?,Per-device downloads over a shared campus link make a lab unusable for a day and burn the site's bandwidth budget.,Master Checklist v3 (FLD-01.1.03),Partially documented,FLD-01.1.03 in-lab distribution design,-,What is the campus link capacity? / Who runs the cache? / What is the fallback policy?,"compares link cost, operator burden and failure behaviour for both models",,,,,
QTU0104,D19,XR Store App (M16/M32),MXR,Mobile & XR Developer,L4 Architect,Quarter 1,Trade-off,"Should comfort and safety review be a hard publishing gate in the XR store, and what does that do to third-party title throughput?","A title that induces simulator sickness in a mandatory training session is a learner-harm incident, but a hard gate makes EdVidura the bottleneck for every vendor release.",Architecture Review Report §D-M16; Vendor & Content-Rights Management (E11),Undocumented — no answer exists,CNT-21.x third-party title acceptance,-,Who performs the review and with what protocol? / What is the throughput cost per title? / Can a vendor self-certify against a published standard?,"Places the gate, names the reviewing role, and states the throughput consequence",,,,,
QAX0070,D19,XR Store App (M16/M32),PM,Project / Delivery Manager,L4 Architect,Quarter 1,Ethics/Validity,Should events uploaded from a device sixty days after the session ever be used for an official competency record?,Accepting sixty-day-old device evidence into official records makes every record contestable on provenance grounds.,Architecture Review Report §D-M16; Master Checklist v3 (KNI-12.1.05),Undocumented — no answer exists,KNI-12.1.05 quarantine and evidence-level rules,-,Is there a staleness bound for official evidence? / Who signs the exception? / What is the learner told?,states a staleness bound and the evidence level stale uploads are admitted at,,,,,
QAX0067,D19,XR Store App (M16/M32),PRODM,Product Manager,L4 Architect,Quarter 1,Trade-off,"Should EdVidura commit to an iOS client at all, given that the store must sideload multi-gigabyte simulator packages?",Committing to iOS without resolving sideloading policy sells a capability the platform cannot legally deliver.,"Master Checklist v3 (FLD-01.1.01); Architecture Review Report §D-M16, §D-M32",Undocumented — no answer exists,FLD-01.1.01 iOS platform scope decision,-,What is the app-store policy constraint? / Who asked for iOS? / What is the support cost of a third platform?,"weighs the distribution constraint, the demand evidence and the marginal support cost",,,,,
QAX0050,D19,XR Store App (M16/M32),QA,QA / Test Engineer,L1 Junior,Day 1,Orientation,What does the pre-release launch test suite check before a title may be published to the catalogue?,A title that installs but will not launch on a lab headset burns a training session and a technician's morning.,Master Checklist v3 (KNI-10.1.04),Partially documented,KNI-10.1.04 pre-release launch test suite,-,Does it run per platform? / Can publish proceed on a failure? / Who reviews a waiver?,"names the checks, the per-platform matrix and the publish block on failure",,,,,
QAX0059,D19,XR Store App (M16/M32),QA,QA / Test Engineer,L3 Senior,Month 1,Failure mode,"What does the sixty-day-offline acceptance test prove, and which offline failure does it not exercise?",Passing a single clean sixty-day test creates false confidence in a queue that has never been filled to its cap.,"Master Checklist v3 (FLD-03.4.01, TST-45.2.01)",Partially documented,FLD-03.4.01 sixty-day-offline field acceptance test,-,Is the queue cap reached? / Is the credential expiry included? / Is storage exhaustion tested?,states the covered path and names queue overflow and storage exhaustion as untested,,,,,
QAX0075,D19,XR Store App (M16/M32),QA,QA / Test Engineer,L3 Senior,Month 1,Emergent,"When the Windows client and the Android client disagree on behaviour, which one defines correct?",Without a declared reference platform every parity defect becomes an argument instead of a fix.,None — undocumented,Undocumented — no answer exists,FLD-02.1.02 Windows client feature parity,QAX0053,Is parity contractual? / Is there a shared behaviour spec? / Who arbitrates?,names a reference platform or a platform-independent behaviour specification,,,,,
QAX0064,D19,XR Store App (M16/M32),SDET,Test Architect / SDET,L3 Senior,Month 1,Standards,Does the store-and-forward sync contract have a runnable conformance suite a third-party simulator vendor can execute?,A prose-only protocol means every vendor implements a slightly different client and the fleet telemetry becomes meaningless.,"Master Checklist v3 (KNI-09.1.01, KNI-15.1.04)",Partially documented,KNI-15.1.04 vendor integration guide docs-alone test,-,Is there a reference client? / What does the docs-alone test check? / Who certifies a vendor?,"names the published contract, the executable suite and the docs-alone validation",,,,,
QAX0074,D19,XR Store App (M16/M32),SDET,Test Architect / SDET,L3 Senior,Month 1,Emergent,What does the three-platform smoke pipeline not catch that only a headset on a learner's head will reveal?,Passing smoke tests on emulators gives permission to publish a title that induces nausea or cannot be read in the headset.,"Master Checklist v3 (KNI-10.1.04, TST-45.2.04)",Partially documented,KNI-10.1.04 pre-release launch test suite,QAX0050,Is comfort tested? / Is legibility tested? / Is the guardian envelope checked?,separates automatable launch checks from human comfort and legibility checks,,,,,
QAX0047,D19,XR Store App (M16/M32),SEC,Security Engineer,L1 Junior,Day 1,Orientation,What is package signing in the XR store and at which moments is a signature checked?,An unverified simulator package inside an accredited lab is a supply-chain compromise route straight onto every headset.,"Master Checklist v3 (KNI-09.1.04, FLD-01.1.02)",Partially documented,FLD-01.1.02 package integrity contract,-,Is it checked at install only or at launch too? / Who holds the publisher key? / What happens on failure?,names the signing authority and both verification points,,,,,
QAX0058,D19,XR Store App (M16/M32),SEC,Security Engineer,L2 Mid,Month 1,Security,What happens to events queued on a device by a user who was deactivated while the device was offline?,Silently accepting a revoked user's events writes learning history for someone the organisation has removed.,"Master Checklist v3 (KNI-12.1.05, KNI-09.1.05)",Partially documented,KNI-12.1.05 revoked-user quarantine,-,Where do the events land? / Who reviews the quarantine? / Is the learner told?,"names quarantine rather than drop or accept, and the audit record that accompanies it",,,,,
QAX0063,D19,XR Store App (M16/M32),SEC,Security Engineer,L3 Senior,Month 1,Security,Which package-tampering attempts have been proven to fail on both supported platforms?,A verification gap on one platform makes that platform the attack path into every accredited lab that runs it.,"Master Checklist v3 (FLD-03.1.01, KNI-13.1.02)",Partially documented,FLD-03.1.01 signature verification negative tests,-,Is version downgrade blocked? / Is a wrong publisher key blocked? / Is the cache path covered?,"lists tampered package, wrong key and downgrade with the platform each was proven on",,,,,
QAX0073,D19,XR Store App (M16/M32),SEC,Security Engineer,L3 Senior,Month 1,Emergent,"If the lab package cache is compromised, does per-device signature verification still catch it?",Trusting the cache because it sits inside the lab perimeter turns one compromised edge server into a fleet-wide compromise.,"Master Checklist v3 (FLD-01.1.02, FLD-02.1.05)",Partially documented,FLD-01.1.02 verification at install and at every launch,QAX0047,Is the cache in the trust boundary? / Is verification at launch too? / Who holds the trust anchor?,asserts device-side verification independent of cache trust and names the anchor's location,,,,,
QAX0066,D19,XR Store App (M16/M32),SUP,Support & Service Engineer,L3 Senior,Quarter 1,Failure mode,What can a support engineer determine about a headset that has been offline for three weeks in a customer lab?,"If nothing is visible until the device syncs, support can only tell the customer to wait, which is not a service.",Master Checklist v3 (FLD-03.2.02); Architecture Review Report §D-M32,Partially documented,FLD-03.2.02 fleet sync dashboard unsynced-device visibility,-,What does the lab edge server know? / Can a technician read the queue depth? / What is the escalation?,distinguishes what the edge server knows locally from what the platform knows centrally,,,,,
QST0160,D20,Immersive Lab Sites,SUP,Support & Service Engineer,L3 Senior,Quarter 1,Failure mode,How would you detect configuration divergence between the two immersive lab sites from support signals alone?,Undetected divergence means a fix verified at one site does not work at the other and cross-site comparisons are invalid.,Architecture Review Report §F (Scenario 14); Master Checklist v3 (FLD-07.2.03),Partially documented,D21 divergence audit drill,-,Is there a config parity check? / What signals differ? / Who owns the reference design?,Names parity checks and the ticket-pattern signals that hint at drift,,,,,
QAX0128,D20,Immersive Lab — Reference Site (M33),DA,Data Analyst,L3 Senior,Quarter 1,Emergent,"If three headsets ran a session off baseline, what must happen to the analysis that already used their events?",Leaving contaminated events in an effectiveness analysis produces a conclusion that cannot be defended on review.,"Master Checklist v3 (FLD-05.2.03, FLD-07.2.03)",Partially documented,FLD-07.2.04 cross-site comparability gate,QAX0108,Can the events be identified? / Is the analysis re-runnable? / Who is told?,"requires stamp-based identification, exclusion or disclosure, and a re-run",,,,,
QAX0108,D20,Immersive Lab — Reference Site (M33),DE,Data Engineer,L2 Mid,Week 1,Data,What configuration fields are stamped onto every event a lab headset emits?,Events without a device and baseline stamp cannot be excluded from an analysis after a device is found off baseline.,"Master Checklist v3 (FLD-05.2.03, FLD-02.2.01)",Partially documented,FLD-05.2.03 configuration stamping verification,-,Who applies the stamp? / Is it validated at ingest? / What happens if a field is missing?,"lists device model, firmware, content version and baseline ID and the ingest validation",,,,,
QAX0101,D20,Immersive Lab — Reference Site (M33),DEVOPS,DevSecOps / Platform Engineer,L1 Junior,Day 1,Orientation,What is a site configuration baseline ID and what is included in it?,Without knowing what the baseline covers an engineer will patch a headset outside it and break cross-site comparability.,Master Checklist v3 (FLD-05.2.01),Partially documented,FLD-05.2.01 site configuration baseline manifest,-,Does it include firmware? / Does it include content versions? / Who issues a new ID?,"lists firmware, simulator and content versions and edge patch level under one versioned ID",,,,,
QAX0102,D20,Immersive Lab — Reference Site (M33),DEVOPS,DevSecOps / Platform Engineer,L1 Junior,Day 1,Orientation,What services run on the lab edge server and why are they not run from the central platform?,An engineer who moves a service centrally makes the lab unusable the next time the campus link drops.,"Master Checklist v3 (FLD-05.1.01, FLD-02.1.05)",Partially documented,FLD-05.1.01 edge server deployment,-,What is cached locally? / What is the local sync endpoint? / What happens when the WAN is cut?,"names package cache, local sync endpoint and fleet inventory as locally required",,,,,
QAX0106,D20,Immersive Lab — Reference Site (M33),DEVOPS,DevSecOps / Platform Engineer,L2 Mid,Week 1,Failure mode,Walk what happens to thirty headsets mid-session when the campus wide-area link is cut.,An engineer who cannot describe this will design a dependency that ends thirty training sessions at once.,"Master Checklist v3 (FLD-06.1.04, FLD-92.2.02)",Partially documented,FLD-06.1.04 offline-session drill,-,Which services survive locally? / Where do events queue? / What does the technician see?,"names the locally served dependencies, the queue location and the reconnect behaviour",,,,,
QAX0107,D20,Immersive Lab — Reference Site (M33),DEVOPS,DevSecOps / Platform Engineer,L2 Mid,Week 1,Mechanism,"How is a headset that has drifted off the site baseline detected, and within what time?",A device silently off baseline produces events that contaminate comparisons with every other device in the study.,Master Checklist v3 (FLD-05.2.02),Partially documented,FLD-05.2.02 drift detection with divergence alert,-,What is the inventory cycle? / What triggers the alert? / What is the waiver workflow?,"names the scheduled inventory diff, the alert and the waiver path",,,,,
QAX0112,D20,Immersive Lab — Reference Site (M33),DEVOPS,DevSecOps / Platform Engineer,L2 Mid,Month 1,Performance/Scale,What wireless capacity does a full-occupancy session with every headset streaming action events require?,Sizing the wireless network for browsing rather than dense action telemetry drops events for the whole class.,"Master Checklist v3 (FLD-04.1.03, FLD-06.1.02)",Partially documented,FLD-04.1.03 lab network design,-,What is the per-headset event rate? / What is the airtime budget? / Was it load tested?,derives the requirement from the measured per-device event rate and cites the load test,,,,,
QAX0114,D20,Immersive Lab — Reference Site (M33),DEVOPS,DevSecOps / Platform Engineer,L3 Senior,Month 1,Failure mode,What is the blast radius when the lab edge server fails during a full-occupancy session?,"If the edge server is a single point of failure the whole lab stops, and the site has no recovery time commitment.",Master Checklist v3 (FLD-05.1.01); Architecture Review Report §D-M33,Partially documented,FLD-06.2.01 lab operations dashboard and runbook,-,Do sessions continue? / Where do events go? / What is the on-site recovery time?,separates session continuation from event durability and states a recovery time,,,,,
QAX0124,D20,Immersive Lab — Reference Site (M33),DEVOPS,DevSecOps / Platform Engineer,L4 Architect,Quarter 1,Trade-off,"Is offline-first the right default for an Indian campus lab, or is it over-engineering for sites with good links?",Building offline-first everywhere costs edge hardware at every site; assuming connectivity strands the sites that need it most.,"Master Checklist v3 (FLD-92.2.01, FLD-92.2.02)",Partially documented,FLD-92.2.01 campus bandwidth and reliability baseline,-,What did the two-week baseline show? / What does the edge server cost per site? / What degrades without it?,argues from measured link reliability to a default with a stated exception rule,,,,,
QTU0094,D20,Immersive Lab — Reference Site (M33),MXR,Mobile & XR Developer,L1 Junior,Day 1,Orientation,"What is physically in an EdVidura immersive lab at the reference site, and which parts of it are EdVidura's own software?",A developer who cannot separate EdVidura software from vendor hardware and third-party titles will raise defects against systems the programme does not control.,Product Plan v2 (M33); Site Deployment Kit (E12),Partially documented,PRG-08.x reference site build,-,Which components are third-party titles? / Who supports the headsets themselves? / Is the replication site identical?,Inventories the lab and marks the EdVidura-owned boundary,,,,,
QAX0100,D20,Immersive Lab — Reference Site (M33),PM,Project / Delivery Manager,L1 Junior,Day 1,Orientation,What is the lab reference design and why does a second site depend on it existing first?,Building a second site before the reference design is validated guarantees two divergent labs and no comparable results.,"Master Checklist v3 (FLD-04.1.02, FLD-90.1.01); Architecture Review Report §D-M33",Partially documented,FLD-90.1.01 lab reference design as a controlled artefact,-,Who is the design owner? / Where is it version controlled? / When is it frozen?,"names the controlled artefact, its owner and the freeze that makes replication possible",,,,,
QAX0125,D20,Immersive Lab — Reference Site (M33),PM,Project / Delivery Manager,L3 Senior,Quarter 1,Emergent,"Once a divergence waiver is approved at the reference site, what stops it becoming the de facto standard?",Waivers that are never retired turn the reference design into a fiction while everyone still cites it.,"Master Checklist v3 (FLD-05.2.02, FLD-07.2.01)",Partially documented,FLD-90.1.03 reference design change control,QAX0107,Do waivers expire? / Are they reviewed? / When does a waiver become a design change?,names waiver expiry and the promotion path from waiver to design revision,,,,,
QAX0121,D20,Immersive Lab — Reference Site (M33),PM,Project / Delivery Manager,L4 Architect,Quarter 1,Trade-off,Which reference-site design decisions are safe to make before the actual site and customer are named?,Designing to an unnamed site produces a reference design that must be redone once a real building is surveyed.,Architecture Review Report §D-M33 (site identity contradiction),Undocumented — no answer exists,FLD-04.1.01 site identity confirmation and survey,-,What is site-independent? / What is site-specific? / What is the cost of deciding early?,separates equipment and process decisions from building-dependent ones with the reason,,,,,
QAX0122,D20,Immersive Lab — Reference Site (M33),PM,Project / Delivery Manager,L4 Architect,Quarter 1,Trade-off,Should the reference lab be operated by EdVidura staff or by the host institution's own technicians?,Handing operations to host staff without a competency gate produces silent divergence; keeping it in-house does not scale to many sites.,"Master Checklist v3 (FLD-04.1.08, FLD-96.2.03)",Partially documented,FLD-04.1.08 lab operations staffing model,-,What is the competency gate? / Who owns baseline authority? / What does each model cost per site?,"compares control, cost and scalability and names who holds configuration authority in each",,,,,
QAX0123,D20,Immersive Lab — Reference Site (M33),PRODM,Product Manager,L4 Architect,Quarter 1,Cost,How long can this headset generation remain the reference fleet before obsolescence forces a redesign?,A reference design pinned to a discontinued headset makes every replication site a bespoke build.,Architecture Review Report §D-M33; Master Checklist v3 (FLD-96.1.03),Undocumented — no answer exists,FLD-90.1.03 reference design freeze under change control,-,What is the vendor's support horizon? / What is the last-buy strategy? / What triggers a redesign?,"states a supported life, a last-time-buy position and the redesign trigger",,,,,
